Date,City,Rep,Store,Prod,Cost,Sale
10/9/2005,Jubail,Yahia,Othaim,Toys,373.665,498.22
10/28/2005,Abha,Yahia,Panda,Toys,2714.0059,4600.01
2/18/2006,Riyadh,Mjeed,Lulu,Home,3718.965,4958.62
1/1/2006,Jubail,Yahia,Panda,Home,2791.4493,4731.27
1/29/2005,Jeddah,Mjeed,Panda,Home,185.3816,272.62
1/12/2005,Dammam,Abdul,Othaim,Food,3305.9025,7346.45
1/19/2006,Dammam,Yahia,Lulu,Office,5358.7672,7880.54
10/12/2004,Hail,Yahia,Othaim,Toys,7133.745,9511.66
3/15/2005,Dammam,Maliha,Carrefour,Food,3491.8709,8120.63
2/17/2006,Jeddah,Yahia,Lulu,Office,1350.063,3000.14
12/14/2005,Jubail,Yahia,Carrefour,Food,947.6383,2203.81
10/15/2004,Jeddah,Ghalia,Panda,Home,2648.9625,3531.95
12/26/2005,Jeddah,Maliha,Carrefour,Home,3309.46,3760.75
3/1/2006,Jeddah,Maliha,Carrefour,Toys,1277.9686,2972.02
12/9/2005,Dammam,Yahia,Lulu,Office,3923.2192,5769.44
12/15/2004,Riyadh,Maliha,Lulu,Office,1378.5929,3206.03
6/15/2006,Hail,Abdul,Carrefour,Office,5406.2703,9163.17
10/11/2005,Riyadh,Maliha,Panda,Food,396.1265,720.23
9/16/2005,Riyadh,Ghalia,Lulu,Food,266.3024,451.36
9/3/2005,Jubail,Ghalia,Carrefour,Office,2499.629,4544.78
12/26/2004,Jubail,Abdul,Carrefour,Home,4914.2984,5584.43
12/28/2015,Dammam,Maliha,Carrefour,Toys,7221.7024,8206.48
5/20/2005,Hail,Abdul,Lulu,Food,2929.712,4308.4
3/15/2006,Jeddah,Ghalia,Lulu,Food,3260.004,3704.55
1/11/2006,Jeddah,Maliha,Panda,Home,3249.56445,3475.47
4/5/2005,Abha,Yahia,Panda,Toys,4593.6924,6755.43
6/26/2004,Abha,Mjeed,Othaim,Office,5927.724,6736.05
7/17/2005,Abha,Ghalia,Lulu,Toys,245.7825,327.71
9/30/2005,Hail,Ghalia,Carrefour,Home,627.9392,923.44
9/24/2005,Jeddah,Ghalia,Carrefour,Toys,2393.388,5318.64
8/18/2005,Jubail,Maliha,Lulu,Office,3170.595,4227.46
7/19/2005,Jubail,Abdul,Lulu,Office,5064.1164,7447.23
11/1/2004,Abha,Mjeed,Lulu,Office,3679.8239,9945.47
